id,hopital,pays,region,type_dechet,poids_kg,cout_traitement,niveau_risque,mode_elimination,date_collecte,distance_traitement_km,conformite,type_conteneur,incident,entreprise_transport,service_origine
571,Hopital_25,Sénégal,Est,Radioactifs,201.49,32767.38,Moyen,Incinération,2023-03-30,54.89,Non,Sac rouge,Non,SafeWaste,Radiologie
241,Hopital_11,Cameroun,Extrême-Nord,Piqûres/Coupures,214.32,26431.7,Élevé,Autoclave,2024-07-07,86.71,En attente,Sac rouge,Non,CleanMed,Urgences
294,Hopital_20,Togo,Sud,Organiques,17.56,423.84,Faible,Enfouissement,2024-09-18,86.09,Partielle,Conteneur rigide,Non,,Restauration
670,Hopital_25,Togo,Adamaoua,Piqûres/Coupures,39.35,4702.25,Élevé,Autoclave,2023-01-08,25.31,En attente,Sac rouge,Non,Hopital Service,Chirurgie
475,Hopital_45,Togo,Adamaoua,Pharmaceutiques,243.51,55352.35,Élevé,Incinération,2023-03-11,29.23,,Sac jaune,Non,SafeWaste,Oncologie
23,Hopital_2,Cameroun,Adamaoua,Chimiques,438.45,41449.9,Moyen,Désinfection chimique,2024-06-20,72.37,Non,Fût,Non,SafeWaste,Oncologie
86,Hopital_16,Sénégal,Est,Piqûres/Coupures,150.06,21934.01,Faible,Incinération,2024-02-17,198.58,En attente,Carton DASRI,Non,SafeWaste,Soins Intensifs
246,Hopital_6,Gabon,Littoral,Radioactifs,249.63,53457.21,Élevé,Incinération,2023-11-17,11.29,Partielle,Carton DASRI,Non,SafeWaste,Radiologie
596,Hopital_35,Cameroun,Nord,Organiques,231.88,4732.61,Faible,Enfouissement,2024-02-27,209.71,En attente,Sac rouge,Non,,Restauration
171,Hopital_2,Sénégal,Nord,Pharmaceutiques,273.17,38007.75,Moyen,Incinération,2023-10-07,225.19,Non,Sac jaune,Non,SafeWaste,Pharmacie
232,Hopital_4,Bénin,Nord,Organiques,402.0,8150.73,Faible,Enfouissement,2024-07-01,199.24,En attente,Sac jaune,Non,EcoTrans,Restauration
557,Hopital_8,Togo,Extrême-Nord,Chimiques,151.86,15942.72,Moyen,Désinfection chimique,2024-04-15,49.4,En attente,Conteneur rigide,Non,EcoTrans,Laboratoire
500,Hopital_26,RDC,Nord,Chimiques,353.09,32011.41,Moyen,Désinfection chimique,2024-01-19,184.29,Oui,Sac jaune,Non,SafeWaste,Maintenance
77,Hopital_14,Gabon,Sud-Ouest,Pharmaceutiques,294.3,42497.09,Moyen,Incinération,2024-03-11,223.48,Partielle,Sac rouge,Non,Hopital Service,Pharmacie
628,Hopital_16,Cameroun,Nord,Infectieux,10.54,2274.51,Élevé,Incinération,2024-06-10,148.35,Oui,Sac rouge,Non,BioLogistics,Maladies Infectieuses
361,Hopital_46,RDC,Nord,Chimiques,58.35,6090.72,Moyen,Désinfection chimique,2024-07-29,124.03,En attente,Conteneur rigide,Non,EcoTrans,Laboratoire
150,Hopital_42,Gabon,Adamaoua,Piqûres/Coupures,113.43,23585.31,Élevé,Incinération,2023-07-19,147.8,,Conteneur rigide,Non,SafeWaste,Urgences
576,Hopital_9,Bénin,Adamaoua,Infectieux,310.71,72655.73,Élevé,Incinération,2024-06-02,229.36,Oui,Conteneur rigide,Non,SafeWaste,Maladies Infectieuses
556,Hopital_26,Côte d'Ivoire,Ouest,Radioactifs,220.78,46361.54,Élevé,Incinération,2024-05-01,46.67,Oui,Conteneur rigide,Non,CleanMed,Radiologie
275,Hopital_7,Gabon,Sud,Pharmaceutiques,420.88,68351.56,Moyen,Incinération,2024-05-18,174.89,Oui,Carton DASRI,Non,BioLogistics,Pharmacie
281,Hopital_1,Sénégal,Centre,Piqûres/Coupures,163.23,35039.23,Élevé,Incinération,2024-05-24,125.02,Oui,Conteneur rigide,Oui,EcoTrans,Urgences
84,Hopital_40,Gabon,Nord,Infectieux,137.26,14963.49,Élevé,Autoclave,2023-05-17,179.47,Partielle,Sac rouge,Non,EcoTrans,Urgences
383,Hopital_40,Côte d'Ivoire,Extrême-Nord,Organiques,192.87,3503.75,Faible,Enfouissement,2023-05-31,6.08,Partielle,Sac rouge,Non,CleanMed,Restauration
700,Hopital_33,RDC,Est,Radioactifs,121.72,26496.66,Élevé,Incinération,2024-10-20,82.03,Partielle,Conteneur rigide,Oui,,Radiologie
139,Hopital_3,RDC,Sud-Ouest,Piqûres/Coupures,490.67,105638.69,Élevé,Incinération,2023-08-01,239.76,Oui,Sac rouge,Non,SafeWaste,Soins Intensifs
222,Hopital_32,Cameroun,Adamaoua,Infectieux,71.22,15627.17,Élevé,Incinération,2024-06-07,23.52,Oui,Sac rouge,Non,CleanMed,Maladies Infectieuses
176,Hopital_28,Gabon,Ouest,Pharmaceutiques,26.93,3685.1,Moyen,Incinération,2024-09-14,81.1,Oui,Carton DASRI,Non,CleanMed,Pharmacie
625,Hopital_21,Cameroun,Sud,Chimiques,255.71,27833.49,Moyen,Désinfection chimique,2024-07-05,166.78,Non,Sac rouge,Non,,Laboratoire
211,Hopital_3,Côte d'Ivoire,Nord,Pharmaceutiques,198.59,26941.62,Moyen,Incinération,2023-05-09,130.51,Oui,Fût,Non,CleanMed,Pharmacie
606,Hopital_19,Gabon,Nord,Organiques,256.13,5662.82,Faible,Enfouissement,2023-10-25,92.17,Partielle,Sac rouge,Non,Hopital Service,Restauration
488,Hopital_29,RDC,Ouest,Piqûres/Coupures,153.85,35300.98,Élevé,Incinération,2023-03-27,207.58,Oui,Sac rouge,Non,Hopital Service,Chirurgie
115,Hopital_39,Bénin,Extrême-Nord,Infectieux,249.63,32204.59,Élevé,Autoclave,2024-11-26,130.51,Partielle,Carton DASRI,Non,SafeWaste,Maladies Infectieuses
57,Hopital_8,Cameroun,Ouest,Organiques,259.12,5539.33,Faible,Enfouissement,2024-02-20,34.42,Partielle,Fût,Non,BioLogistics,Services Généraux
393,Hopital_42,Bénin,Sud,Chimiques,181.56,17752.1,Moyen,Désinfection chimique,2023-12-19,44.68,Non,Sac rouge,Non,Hopital Service,Maintenance
304,Hopital_20,Bénin,Sud-Ouest,Organiques,335.7,7354.72,Faible,Enfouissement,2024-07-09,248.04,En attente,Carton DASRI,Non,CleanMed,Restauration
634,Hopital_31,Togo,Sud-Ouest,Pharmaceutiques,150.4,23894.8,Moyen,Incinération,2023-07-05,79.67,Oui,Fût,Non,SafeWaste,Pharmacie
520,Hopital_4,Cameroun,Nord,Piqûres/Coupures,494.03,121402.22,Élevé,Incinération,2024-03-06,233.71,Partielle,Fût,Non,Hopital Service,Vaccination
