id,hopital,pays,region,type_dechet,poids_kg,cout_traitement,niveau_risque,mode_elimination,date_collecte,distance_traitement_km,conformite,type_conteneur,incident,entreprise_transport,service_origine
571,Hôpital Régional de Thiès,Sénégal,Fatick,Radioactifs,201.49,32767.38,Moyen,Incinération,2023-03-30,54.89,Non,Sac rouge,Non,SafeWaste,Radiologie
241,Hôpital Laquintinie de Douala,Cameroun,Centre,Piqûres/Coupures,214.32,26431.7,Élevé,Autoclave,2024-07-07,86.71,En attente,Sac rouge,Non,CleanMed,Urgences
294,Hôpital Dogta-Lafiè,Togo,Centrale,Organiques,17.56,423.84,Faible,Enfouissement,2024-09-18,86.09,Partielle,Conteneur rigide,Non,,Restauration
670,CHR Lomé Commune,Togo,Savanes,Piqûres/Coupures,39.35,4702.25,Élevé,Autoclave,2023-01-08,25.31,En attente,Sac rouge,Non,Hopital Service,Chirurgie
475,CHR Dapaong,Togo,Savanes,Pharmaceutiques,243.51,55352.35,Élevé,Incinération,2023-03-11,29.23,,Sac jaune,Non,SafeWaste,Oncologie
23,Hôpital Régional de Bafoussam,Cameroun,Nord-Ouest,Chimiques,438.45,41449.9,Moyen,Désinfection chimique,2024-06-20,72.37,Non,Fût,Non,SafeWaste,Oncologie
86,Hôpital Régional de Thiès,Sénégal,Thiès,Piqûres/Coupures,150.06,21934.01,Faible,Incinération,2024-02-17,198.58,En attente,Carton DASRI,Non,SafeWaste,Soins Intensifs
246,CHU de Libreville,Gabon,Ngounié,Radioactifs,249.63,53457.21,Élevé,Incinération,2023-11-17,11.29,Partielle,Carton DASRI,Non,SafeWaste,Radiologie
596,Hôpital Régional de Bafoussam,Cameroun,Littoral,Organiques,231.88,4732.61,Faible,Enfouissement,2024-02-27,209.71,En attente,Sac rouge,Non,,Restauration
171,Hôpital Ndamatou,Sénégal,Diourbel,Pharmaceutiques,273.17,38007.75,Moyen,Incinération,2023-10-07,225.19,Non,Sac jaune,Non,SafeWaste,Pharmacie
232,Hôpital de Zone de Ménontin,Bénin,Atacora,Organiques,402.0,8150.73,Faible,Enfouissement,2024-07-01,199.24,En attente,Sac jaune,Non,EcoTrans,Restauration
557,CHR Dapaong,Togo,Savanes,Chimiques,151.86,15942.72,Moyen,Désinfection chimique,2024-04-15,49.4,En attente,Conteneur rigide,Non,EcoTrans,Laboratoire
